default,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,1,-1.379541231,0.066157442,1.666478059,-0.096194976,0.230768773,0,1,10,0.895387473,N,Low,5-Mar-19
0,1,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,2,10,0.536696708,N,Low,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,Y,Low,5-Mar-19
0,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,1,1,10,0.65032892,N,,31-Jan-18
0,1,1.867784437,0.066157442,-0.227743901,-0.477077425,0.647261887,0,1,10,0.286602705,Y,Low,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,,N,Low,5-Mar-19
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,0.495368224,Y,High,29-Feb-20
0,0,-1.360383125,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,0.572405993,N,Low,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.879563993,Y,Low,29-Feb-20
0,0,-1.16726471,0.066157442,-0.227743901,1.915782436,-0.900150976,0,1,10,0.568062637,Y,,31-Jan-18
0,0,-1.379541231,0.066157442,1.666478059,-0.096194976,0.230768773,0,2,10,,N,Low,31-Jan-18
0,1,1.867784437,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,,N,Low,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.731641354,N,Low,31-Jan-18
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,0.812659657,Y,Low,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,0.614255032,Y,Low,31-Jan-18
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.065718687,N,Low,29-Feb-20
1,2,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.599269328,Y,High,29-Feb-20
1,0,1.867784437,0.066157442,1.666478059,-0.096194976,0.259899026,1,1,10,0.423149621,Y,Low,29-Feb-20
0,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,N,,5-Mar-19
1,1,1.867784437,-0.290540296,-0.227743901,1.915782436,-0.391684899,0,1,10,0.522022559,N,Low,29-Feb-20
1,3,1.867784437,-0.290540296,1.666478059,1.915782436,0.647261887,0,1,10,0.27763682,Y,Low,5-Mar-19
0,0,-1.16726471,-0.290540296,-0.227743901,-0.096194976,0.230768773,0,1,10,0.824440486,N,Low,5-Mar-19
0,0,-1.16726471,0.066157442,-0.227743901,1.915782436,-0.900150976,0,2,10,0.206540681,N,High,5-Mar-19
0,1,-1.360383125,0.066157442,-0.227743901,-0.477077425,0.647261887,0,2,10,0.200996675,Y,Low,31-Jan-18
0,0,-1.379541231,-0.290540296,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.262005255,N,Low,29-Feb-20
1,1,1.867784437,0.066157442,1.666478059,-0.096194976,0.647261887,0,1,10,,Y,Low,29-Feb-20
0,0,-1.360383125,-0.290540296,-0.227743901,-0.096194976,0.230768773,1,1,10,0.188616514,Y,Low,29-Feb-20
0,1,-1.379541231,0.066157442,1.666478059,-0.096194976,0.230768773,1,1,10,,Y,,5-Mar-19
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.900150976,0,1,10,0.149171327,Y,,5-Mar-19
0,0,-1.16726471,-0.290540296,-0.227743901,-0.096194976,0.230768773,1,1,10,,N,,29-Feb-20
1,0,-1.360383125,0.066157442,-0.227743901,-0.096194976,0.259899026,1,1,10,,Y,Low,29-Feb-20
1,3,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.763088075,N,Low,29-Feb-20
0,1,1.867784437,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,,N,Low,29-Feb-20
0,0,1.867784437,-0.290540296,-0.227743901,-0.096194976,0.230768773,0,1,10,0.383791766,Y,Low,29-Feb-20
0,1,-1.360383125,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,,Y,High,31-Jan-18
0,1,-1.360383125,0.066157442,-0.490906623,-0.477077425,0.406273195,1,1,10,,N,Low,29-Feb-20
0,1,-1.16726471,0.066157442,-0.227743901,-0.477077425,0.647261887,0,1,10,,N,,29-Feb-20
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,,N,Low,31-Jan-18
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.504304906,0,1,10,0.404895601,N,Low,5-Mar-19
0,0,-1.379541231,-0.290540296,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.674056611,N,,29-Feb-20
1,0,1.867784437,-0.290540296,-0.227743901,-0.096194976,0.647261887,1,1,10,0.054797948,Y,Low,31-Jan-18
1,0,1.867784437,-0.290540296,-0.227743901,-0.096194976,0.259899026,0,1,10,,N,Low,5-Mar-19
1,1,1.867784437,-0.290540296,-0.490906623,-0.477077425,0.406273195,1,1,10,0.966846426,N,,29-Feb-20
1,0,1.867784437,-0.290540296,1.666478059,-0.096194976,0.259899026,1,1,10,0.19810755,N,,5-Mar-19
1,2,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,N,,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,Y,Low,29-Feb-20
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,N,Low,29-Feb-20
1,1,1.867784437,-0.290540296,-0.490906623,-0.477077425,0.406273195,1,1,10,,N,High,29-Feb-20
1,3,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.606329467,N,Low,5-Mar-19
1,3,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.900150976,0,1,10,0.20195212,Y,Low,29-Feb-20
1,1,1.867784437,0.066157442,-0.490906623,-0.477077425,0.406273195,1,1,10,,Y,Low,31-Jan-18
0,2,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.399800549,N,Low,5-Mar-19
0,0,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.505500137,Y,Low,29-Feb-20
0,1,1.867784437,0.066157442,-0.490906623,-0.477077425,-0.391684899,0,1,10,0.447076092,N,Low,29-Feb-20
0,1,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.900150976,1,1,10,0.407998921,N,Low,29-Feb-20
0,1,1.867784437,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,,N,Low,31-Jan-18
0,1,1.867784437,0.066157442,-0.227743901,-0.096194976,-0.900150976,0,1,10,0.828579204,Y,,5-Mar-19
0,1,1.867784437,-0.290540296,-0.490906623,-0.477077425,0.406273195,0,1,10,,Y,Low,31-Jan-18
0,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.474220942,Y,High,5-Mar-19
0,3,1.867784437,-0.290540296,-0.227743901,-0.096194976,0.647261887,0,1,10,0.52730278,N,Low,29-Feb-20
